overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"12 19, 2012",A1GBT4UN2RW7XY,B0056XXKIK,For Real,"This game truly, genuinely sucks! At first it seemed to have decent graphics and good background music, but playing the hunting game turned out to be super-frustrating. You're given four regions to hunt in but at first only Great Lakes is available, and you must finish each objective to unlock the next game. So the gameplay is very linear. But trying to shoot the animals proved almost impossible. In the very first round, I was told to kill 5 deer in 2 minutes. It took over 30 seconds for the first deer to appear, and man was he running fast. I chose the touch control where it was very difficult to aim, plus unlike any other game I've played, I had to remember to use the L button to shoot! You cannot configure the buttons! I also tried the button control scheme but it was equally frustrating.

Here comes the absolutely worst part: I did manage to shoot down 5 deer and the screen showed so, yet at the end the game said I'd failed! I tried it again and the same: I was sure I'd shot down 5 deer but the game recorded none. This Italian-developed game is absolutely one of the worst games of all time.","Terrible, terrible game!",1355875200,,{'Format:': ' Video Game'},
1.0,False,"06 24, 2011",A2F4DHHHPRSAM6,B000OCXK6A,ashermanh,"This game is horrible, and I can't believe that people are actually giving it 5 stars. Do not listen to them! This is on top of my list of WORST GAMES I HAVE EVER PLAYED. Controls are horrible, gameplay is bad, the AI will only shoot on you and not focus on any of your team-mates, and on easy mode, you die within 10 seconds after going onto the battlefield. It is just a horrible game, people giving the game 5 stars were probably payed to say that stuff. Worst $10 I ever spent!",Why are people giving this 5 stars?,1308873600,2,{'Platform:': ' Xbox 360'},
1.0,False,"10 23, 2014",A2338FMR8BL2ZD,B00KTNSLX6,Gris,"Ubisoft is the worst game development company on the planet. Perhaps they are a gaming division of Comcast, I don't know. Please do not buy any Ubisoft products, ever. JD2015 is complete trash by function and playability.",More gutter filth delivered from Ubisoft.,1414022400,7,{'Format:': ' Video Game'},
1.0,False,"07 13, 2013",A2W7LKMON1FST0,B0095D1CM8,David Doria,"Basically if you are going to buy a gaming mouse, especially a high end one that costs over $100, you want it to last a long time and even more importantly, you want it to be reliable.  This mouse has proven to be neither.

The right mouse button no longer has any resistance, and so any inadvertent touching results in the mouse thinking i pressed the button.  While i can lay my finger on the left mouse button, my other finger must constantly hover just above the right mouse button.  There have been so many inadvertent right clicks because of this, that i finally switched back to my standard microsoft optical mouse, because it was ruining gaming for me.

On top of that, I've experienced what a lot of others have complained about on here, the mouse's optical tracker going haywire.  Generally what happens to me is the mouse won't sense ""down"" anymore, but it sense left, right and up just fine.  I jiggle the mouse around and lift if off the pad a couple of times and it seems to fix itself, but this is unacceptable when you're playing a video game, especially if you're online and others are depending on you.  I've seen reviewers claiming that this is because of dust on the pad, but I don't believe that.  The microsoft mouse i mentioned has no such problems, and it is optical as well.  I even took to regularly using a lint roller on the pad, and that made no difference at all.

Over all, a cool looking mouse, but for all the feature, none of them are worthy of extra stars if the unit does not even function basically as a mouse should.  This thing feels like a rip off to me, and if I wasn't fairly certain I was past the warranty point, I'd contact the company and try to get my money back.  No faith in their own product, and you'd apparently be wise to follow suit.

UPDATE: They wrote me back to say they will honor the warranty IF i produce the original purchase receipt.  Not possible since I bought this on amazon a few months back, used.  I double checked and sure enough, their warranty is non-transferable.  Only the shadiest companies do that to try to curb warranty costs.  2 years is 2 years is 2 years....not supposed to matter who owns the product.",Wears out too quickly and too quirky to be a gaming mouse,1373673600,,{'Color:': ' Matte Black'},
1.0,False,"07 12, 2008",A8PWAF3C7T5AT,B000FO4KO8,Angel Fountains,"This was given to me as a gift last December 2007, it is only July and its not working anymore. I try to plug it in but it just won't work. The LED flashes for a second then it disappears.

I found a lot of people with the hinge crack problem too.

I went to their website and followed instructions which eventually led me to a place where I need to pay $50.00, either for the hinge crack or the part where the item doesnt charge anymore.

Did they make this thing to get money off repairs? If so, kudos to them. I cannot believe nobody pressed charges on this faulty item. My DS wasn't even used that much, 4x a week and not dropped. I clean it with an appropriate cleaner with cotton.

Just do not buy this. Do not. Get a PSP.",I am seething with anger.,1215820800,5,{'Color:': ' Cobalt/Black'},
1.0,True,"02 10, 2017",AMV6OCQH8GOEK,B00JF63SQI,Khai V. Bui,"About 6 months in, the wire started dropping randomly. Bought this mouse at the same time i bought a corsair RGB mouse. That Corsair mouse is still going strong, as good as the first day i got this. This mouse is now useless for me. It disconnects more than my other wireless mouse because of faulty cable. Btw, I googled ""Razer replacement cable"". It's not a thing. RIP.",as good as the first day i got this,1486684800,4,{'Style:': ' DeathAdder Chroma'},
1.0,True,"08 25, 2015",AI1N60WKBNM18,B00Y86DDS8,E.Celis,Do not align properly to the shape of the light bar. tried 4 different stickers and none of them did fit perfectly.,Do not properly align.,1440460800,56,{'Color:': ' K'},
1.0,True,"02 15, 2013",A349GJBO4MFF98,B003VUO6H4,iamjdn,"Since I bought mine used, I was expecting defects. However, the description said it was just minor cuts and whatnot, but after attempting to insert a disc in the console, it didn't even want to enter. I'm too lazy to do all this repairing crap for a disc tray. Ugh.",I Dislike This Disc Tray,1360886400,,,
1.0,False,"12 19, 2012",A13O00BU4K4RG2,B0050SYDEQ,Ron B,"Forza Horizon is nothing like Forza 4, it is an arcade game where you drive cars. The Horizon game itself is fun; driving around racing AI drivers, racing challenges and ""street races"" for credits and cars. Even for a novice, you reach the limits of the game quickly. The game map is not very big and becomes repetitive pretty fast. No real tuning of cars. You buy cars in download packs, then you have to ""win"" the cars you bought with game credits. No Free Play like in Forza 4. Multiplayer, well, hard to tell what's going on there. Lag, cheating or both make racing against cars that are flying, traveling underground or moving at warp speed make it virtually unplayable. And then there's people who play just to crash you out of the race.
They just came out with the ""Rally Expansion Pack"". Sounds like fun, but is really boring. You must finish all stages of a particular race in one sitting or you have to go back and start from the beginning. Either do what the Forza Horizon game commands you to do or be sentenced to boring replays. They should call it ""Groundhog Day Forza"".
The Forza Motorsports servers are down for me about 50% of the time or more, which means you can't win points or credits, receive messages or race online. Microsoft and Turn 10 don't care about this issue and if you complain on the Forza forums, odds are you will be banned, which is the way Microsoft and Turn 10 handle customer problems.
This game is not worth $40 and the Season Pass is not worth $20. Buy it for $10 in the bargain bin, play it for a week then put it at the bottom of the pile. At least you won't feel as ripped off as if you paid full price.",Swing and Miss,1355875200,,{'Format:': ' Video Game'},
1.0,False,"07 3, 2009",A347I8JFLMCKT,B00269DXXO,Snappy,"The controls feel completely inverted in this game and cannot be corrected. Plus, the camera is often too far away. In my first battle I couldn't even see what I or the zombie was doing. Even Umbrella Chronicles is WAY better than this. House of the Dead also a better game. I'd like to give it more time but these controls really hurt my brain.",Do not like the controls or camera,1246579200,8,,
